roll,name,email,enrolled,exam1,exam2,exam3,exam4
97,Aaa,aaa97@gmail.com,2026-03-30,98,84,77,38
98,Aaa,aaa98@outlook.com,2026-03-29,31,83,92,43
99,Pqr,pqr99@yahoo.com,2026-06-12,88,49,85,52
100,Aaa,aaa100@outlook.com,2026-03-11,98,91,89,85
101,Aaa,aaa101@yahoo.com,2026-03-24,61,41,65,87
102,Def,def102@yahoo.com,2026-05-26,78,73,33,93
103,Xyz,xyz103@gmail.com,2026-05-05,57,75,63,73
104,Xyz,xyz104@outlook.com,2026-06-29,65,31,96,54
105,Abc,abc105@gmail.com,2026-04-15,92,60,90,92
106,Pqr,pqr106@gmail.com,2026-01-24,67,58,81,61
107,Xyz,xyz107@outlook.com,2026-05-29,77,90,100,97
108,Xyz,xyz108@yahoo.com,2026-05-21,72,75,88,64
109,Xyz,xyz109@yahoo.com,2026-03-01,45,54,70,45
110,Aaa,aaa110@outlook.com,2026-02-17,54,57,91,65
111,Aaa,aaa111@outlook.com,2026-06-02,66,42,54,67
112,Def,def112@yahoo.com,2026-02-15,68,31,98,46
113,Xyz,xyz113@gmail.com,2026-01-14,100,67,46,92
114,Abc,abc114@gmail.com,2026-05-27,66,90,91,86
115,Xyz,xyz115@gmail.com,2026-01-14,62,91,44,38
116,Pqr,pqr116@yahoo.com,2026-01-19,36,49,49,68
117,Abc,abc117@gmail.com,2026-01-31,83,58,96,78
118,Pqr,pqr118@yahoo.com,2026-03-18,84,69,37,42
119,Def,def119@outlook.com,2026-02-24,63,40,50,60
120,Def,def120@outlook.com,2026-01-20,50,30,82,87
121,Aaa,aaa121@yahoo.com,2026-03-16,34,59,66,66
122,Pqr,pqr122@gmail.com,2026-06-25,59,63,55,84
123,Abc,abc123@outlook.com,2026-02-27,49,64,48,39
124,Abc,abc124@gmail.com,2026-03-20,66,86,45,89
125,Xyz,xyz125@outlook.com,2026-04-14,64,94,99,93
126,Pqr,pqr126@gmail.com,2026-06-03,35,85,71,62
127,Abc,abc127@gmail.com,2026-02-28,32,64,35,52
128,Pqr,pqr128@outlook.com,2026-06-16,86,65,53,85
129,Pqr,pqr129@gmail.com,2026-05-01,74,82,72,71
130,Abc,abc130@gmail.com,2026-03-26,82,93,66,81
131,Aaa,aaa131@gmail.com,2026-04-27,41,70,62,71
132,Abc,abc132@yahoo.com,2026-05-12,30,99,89,82
133,Abc,abc133@gmail.com,2026-05-13,76,93,86,36
134,Def,def134@yahoo.com,2026-05-21,46,66,86,92
135,Abc,abc135@gmail.com,2026-06-11,60,50,69,100
136,Abc,abc136@outlook.com,2026-04-15,41,58,44,89
137,Abc,abc137@outlook.com,2026-02-09,93,67,95,64
138,Pqr,pqr138@yahoo.com,2026-05-01,61,88,100,48
139,Pqr,pqr139@gmail.com,2026-06-03,95,47,38,65
140,Pqr,pqr140@yahoo.com,2026-05-10,64,30,66,68
141,Aaa,aaa141@outlook.com,2026-06-18,92,49,87,98
142,Pqr,pqr142@yahoo.com,2026-03-27,100,99,78,88
143,Xyz,xyz143@gmail.com,2026-06-28,60,79,59,82
144,Abc,abc144@yahoo.com,2026-05-02,78,79,49,93
145,Abc,abc145@gmail.com,2026-05-09,72,42,86,42
146,Aaa,aaa146@yahoo.com,2026-01-04,48,82,49,39
147,Pqr,pqr147@yahoo.com,2026-03-28,80,40,72,98
148,Pqr,pqr148@yahoo.com,2026-06-10,92,99,34,38
149,Def,def149@outlook.com,2026-06-25,66,59,41,85
150,Abc,abc150@outlook.com,2026-06-30,42,86,51,68
151,Abc,abc151@gmail.com,2026-03-25,37,67,75,77
152,Pqr,pqr152@gmail.com,2026-03-04,97,82,53,51
153,Def,def153@gmail.com,2026-06-06,78,60,93,48
154,Def,def154@yahoo.com,2026-06-13,62,88,62,31
155,Pqr,pqr155@yahoo.com,2026-06-23,99,50,39,86
156,Xyz,xyz156@outlook.com,2026-03-18,84,62,88,68
157,Def,def157@yahoo.com,2026-05-04,43,60,78,75
158,Aaa,aaa158@yahoo.com,2026-06-29,67,32,80,65
159,Abc,abc159@outlook.com,2026-06-25,36,93,66,59
160,Aaa,aaa160@yahoo.com,2026-02-26,54,62,47,42
161,Abc,abc161@yahoo.com,2026-04-23,34,76,46,41
162,Xyz,xyz162@yahoo.com,2026-04-17,52,55,46,99
163,Xyz,xyz163@outlook.com,2026-05-09,64,51,62,91
164,Xyz,xyz164@outlook.com,2026-03-28,44,89,39,48
165,Def,def165@outlook.com,2026-06-22,80,76,41,80
166,Abc,abc166@yahoo.com,2026-05-18,45,88,77,63
167,Aaa,aaa167@yahoo.com,2026-06-13,77,43,59,90
168,Abc,abc168@outlook.com,2026-05-24,71,58,38,89
169,Xyz,xyz169@outlook.com,2026-04-15,44,47,35,34
170,Xyz,xyz170@yahoo.com,2026-01-30,42,60,98,47
171,Pqr,pqr171@yahoo.com,2026-04-05,99,83,49,83
172,Abc,abc172@yahoo.com,2026-06-07,82,65,34,77
173,Def,def173@yahoo.com,2026-04-24,60,76,42,77
174,Aaa,aaa174@outlook.com,2026-04-02,37,80,65,54
175,Abc,abc175@yahoo.com,2026-01-24,57,32,36,72
176,Def,def176@gmail.com,2026-05-25,56,38,100,56
177,Aaa,aaa177@gmail.com,2026-03-01,72,48,30,65
178,Def,def178@gmail.com,2026-05-19,62,52,44,33
179,Def,def179@gmail.com,2026-04-02,60,71,32,52
180,Xyz,xyz180@gmail.com,2026-02-02,83,97,44,38
181,Pqr,pqr181@yahoo.com,2026-04-03,95,43,87,94
182,Def,def182@outlook.com,2026-01-12,96,68,88,33
183,Abc,abc183@yahoo.com,2026-04-13,84,43,92,86
184,Abc,abc184@gmail.com,2026-03-24,48,38,46,65
185,Aaa,aaa185@outlook.com,2026-05-30,100,71,78,97
186,Xyz,xyz186@yahoo.com,2026-05-10,85,42,44,100
187,Def,def187@yahoo.com,2026-04-26,59,82,73,88
188,Pqr,pqr188@yahoo.com,2026-01-25,70,84,70,62
189,Xyz,xyz189@gmail.com,2026-06-25,90,38,41,40
190,Abc,abc190@yahoo.com,2026-01-25,77,46,37,72
191,Abc,abc191@yahoo.com,2026-04-01,84,36,66,69
192,Xyz,xyz192@gmail.com,2026-05-28,94,57,49,91
193,Def,def193@gmail.com,2026-03-31,77,44,65,58
194,Pqr,pqr194@outlook.com,2026-06-09,33,64,33,53
195,Xyz,xyz195@outlook.com,2026-03-21,73,74,30,53
196,Def,def196@outlook.com,2026-06-18,81,38,48,33
197,Abc,abc197@outlook.com,2026-05-16,57,78,83,88
198,Xyz,xyz198@gmail.com,2026-04-05,69,71,40,36
199,Def,def199@gmail.com,2026-06-08,36,40,64,86
200,Pqr,pqr200@yahoo.com,2026-06-05,86,83,64,57
